"","subplot","year_crop","block","cropping","plot","organic","till","grain","straw","Nupt_tot","TKW","crop_density","sos","SD","pop","DD","eos","greenup","stable","browndown","los","treatment","slope.greenup","slope.browndown"
"21","45D","2019wheat","C","O-RT","45","O","NT",4.8,5.2,127,43.52,181,114,125.3436835,136,143.3167005,150,11.3436835,17.973017,6.6832995,36,"drought",6.57459595895458,-6.68897134473831
"22","45R","2019wheat","C","O-RT","45","O","NT",5.8,7.2,153,39.8,220,111,121.7317317,130,136.2557986,153,10.7317317,14.5240669,16.7442014,42,"control",26.6208731279009,-13.5401524537364
"23","50D","2019wheat","D","C-IT","50","C","IT",5.5,6.8,185,44.1,236,105,116.0072426,124,133.0757113,148,11.0072426,17.0684687,14.9242887,43,"drought",26.1168817721118,-9.40221818688189
"24","50R","2019wheat","D","C-IT","50","C","IT",6.7,7.8,246,39.18,267,103,117.0477683,125,133.0757315,147,14.0477683,16.0279632,13.9242685,44,"control",12.6982316357793,-9.41952350972068
"25","55D","2019wheat","D","O-RT","55","O","NT",3.9,4.3,89,43.66,160,109,115.9728674,132,145.6443267,152,6.9728674,29.6714593,6.35567330000001,43,"drought",30.9819958155372,-34.4345728400914
"26","55R","2019wheat","D","O-RT","55","O","NT",4.6,5.2,104,42,177,123,133.5725658,138,144.3754405,152,10.5725658,10.8028747,7.6245595,29,"control",-0.174096515670882,-30.4313769162073
"27","57D","2019wheat","D","O-IT","57","O","IT",5.4,6.2,145,43.14,214,106,117.4379662,129,139.7318047,149,11.4379662,22.2938385,9.2681953,43,"drought",38.4841998002754,-47.410622077332
"28","57R","2019wheat","D","O-IT","57","O","IT",6.6,8.1,197,40.52,247,106,117.6111312,125,131.9260271,147,11.6111312,14.3148959,15.0739729,41,"control",33.4937130546791,-20.1148698285713
"29","64D","2019wheat","D","C-NT","64","C","NT",5.4,6.2,173,38,236,111,121.6453427,128,135.8192638,146,10.6453427,14.1739211,10.1807362,35,"drought",15.3294311362337,-9.93308174108188
"30","64R","2019wheat","D","C-NT","64","C","NT",6.4,8.2,226,39.26,271,108,113.7567882,131,144.2641144,150,5.7567882,30.5073262,5.73588559999999,42,"control",17.2734533216084,-14.3987944294747
